pid,id,order,age,age_m,age_d,trial_index,trial_label,trial_start,center,aoi,x,fix_start,fix_end,duration,pupil,video,img,wav,trial,base_word,condition,frame
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,82
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,83
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,84
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,85
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,86
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,87
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,88
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,89
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,90
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,91
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,92
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,93
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,94
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,95
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,96
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,97
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,98
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,99
